Molecular_Weight,XLogP,Polar_Area,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Has_Beta_Lactam,BetaLactam_AtomIdx,BetaLactam_Core_With_Attachments,SMILES,Mol,SMILES_Valid,Core_Scaffold_SMILES
529.5,-8.1,306.0,12,17,False,,,NC(CO)C1OC2(OC3C(OC4C(O)C(N)C(O)C(N)C4O)OC(CO)C(O)C3O2)C(O)C(O)C1O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37cd60>,True,NC(CO)C1OC2(OC3C(OC4C(O)C(N)C(O)C(N)C4O)OC(CO)C(O)C3O2)C(O)C(O)C1O
481.5,-6.4,254.0,10,14,False,,,CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(CN)C(O)C(O)C3N)C2O)OCC1(C)O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37cdd0>,True,CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(CN)C(O)C(O)C3N)C2O)OCC1(C)O
226.27,2.9,32.299,1,2,False,,,CCCc1c[nH]n2c(=O)c3ccccc3cc12,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37ce40>,True,CCCc1c[nH]n2c(=O)c3ccccc3cc12
310.37,0.6,112.0,2,5,True,"16,15,13,14,12,8,19,20",*[C@@H]1C(=O)N(*)[C@@H]1*,CC(=O)N/C=C/SC1=C(C(=O)O)N2C(=O)C(C(C)C)C2C1,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37ceb0>,True,*[C@@H]1C(=O)N(*)[C@@H]1*
272.26,-5.2,165.0,5,6,False,,,C[C@H](N)C(=O)N[C@@H](CNC(=O)/C=C/C(N)=O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37cf20>,True,C[C@H](N)C(=O)N[C@@H](CNC(=O)/C=C/C(N)=O)C(=O)O
702.9,-0.2,227.0,5,14,False,,,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(CC(O)SCC(N)C(=O)O)CC(C)C(=O)/C=C/C2(C)OC2C1C,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37cf90>,True,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(CC(O)SCC(N)C(=O)O)CC(C)C(=O)/C=C/C2(C)OC2C1C
621.8,3.4,135.0,2,10,False,,,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C/C=C/C(C)=O)CC(C)C(=O)/C=C/C2(C)OC2C1C,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f040>,True,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C/C=C/C(C)=O)CC(C)C(=O)/C=C/C2(C)OC2C1C
307.4,1.8,86.5,1,4,False,,,C/C=C/C(C)=C/C(C)C(=O)CC1CC(CC(N)=O)CC(=O)O1,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f0b0>,True,C/C=C/C(C)=C/C(C)C(=O)CC1CC(CC(N)=O)CC(=O)O1
597.7,0.1,155.0,3,11,False,,,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(CC(=O)O)CC(C)C(=O)/C=C/C2(C)OC2C1C,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f120>,True,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(CC(=O)O)CC(C)C(=O)/C=C/C2(C)OC2C1C
722.9,5.4,161.0,4,11,False,,,C/C(=C\C(C)C1OC2(CCC(C)(C3CCC(C)C4(OC(C5OC(O)(CO)C(C)CC5C)CC4C)O3)O2)CC(O)C1C)C(=O)C(C)CC(C)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f190>,True,C/C(=C\C(C)C1OC2(CCC(C)(C3CCC(C)C4(OC(C5OC(O)(CO)C(C)CC5C)CC4C)O3)O2)CC(O)C1C)C(=O)C(C)CC(C)C(=O)O
496.6,5.2,135.0,3,8,False,,,CC(C(=O)c1ccc[nH]1)C1OC2(CC[C@H]1C)CC[C@@H](C)[C@@H](Cc1nc3c(C(=O)O)c(O)ccc3o1)O2,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f200>,True,CC(C(=O)c1ccc[nH]1)C1OC2(CC[C@H]1C)CC[C@@H](C)[C@@H](Cc1nc3c(C(=O)O)c(O)ccc3o1)O2
523.6,5.9,127.0,3,8,False,,,CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f270>,True,CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O
453.4,-4.7,197.0,5,11,False,,,[N-]=[N+]=CC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)C=[N+]=[N-])NC(=O)CC[C@H](N)C(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f2e0>,True,[N-]=[N+]=CC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)C=[N+]=[N-])NC(=O)CC[C@H](N)C(=O)O)C(=O)O
1040.5,-7.1,430.0,12,24,False,,,CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OC[C@H]2OC(n3cc(I)c(=O)[nH]c3=O)[C@H](O)[C@@H]2O)OC(CO)C(O)C1O[C@H](C)C(=O)N[C@@H](C)P(=O)(O)CC(CCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f350>,True,CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OC[C@H]2OC(n3cc(I)c(=O)[nH]c3=O)[C@H](O)[C@@H]2O)OC(CO)C(O)C1O[C@H](C)C(=O)N[C@@H](C)P(=O)(O)CC(CCC(=O)O)C(=O)O
867.0,2.8,228.0,4,12,False,,,CC[C@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2CC(=O)CCN2C(=O)[C@H](Cc2ccc(N(C)C)cc2)N(C)C(=O)[C@@H]2CCCN2C1=O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f3c0>,True,CC[C@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2CC(=O)CCN2C(=O)[C@H](Cc2ccc(N(C)C)cc2)N(C)C(=O)[C@@H]2CCCN2C1=O
707.8,0.1,231.0,7,14,False,,,CCCCC1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f430>,True,CCCCC1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O
1349.5,3.8634000000000155,364.0,6,19,False,,,CC1=C\[C@@H](O)CC(=O)Cc2nc(co2)C(=O)N2CCC=C2C(=O)O[C@H](C(C)C)[C@H](C)/C=C/C(=O)NC\C=C\1.CC[C@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2CC(=O)CCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H]2CCCN2C1=O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f4a0>,True,CC1=C\[C@@H](O)CC(=O)Cc2nc(co2)C(=O)N2CCC=C2C(=O)O[C@H](C(C)C)[C@H](C)/C=C/C(=O)NC\C=C\1.CC[C@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2CC(=O)CCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H]2CCCN2C1=O
2194.6,6.631200000000028,719.0,24,40,False,,,CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)CC2OC(O)(CC(O)CC(O)CC(O)CC(O)CCCC(=O)CC(=O)OC1C(C)CCC(O)CC(=O)c1ccc(N)cc1)CC(O)C2C(=O)O.CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)CC2OC(O)(CC(O)CC(O)CCCC(O)CC(O)CC(=O)CC(=O)OC1C(C)CCC(O)CC(=O)c1ccc(N)cc1)CC(O)C2C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f510>,True,CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)CC2OC(O)(CC(O)CC(O)CC(O)CC(O)CCCC(=O)CC(=O)OC1C(C)CCC(O)CC(=O)c1ccc(N)cc1)CC(O)C2C(=O)O.CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)CC2OC(O)(CC(O)CC(O)CCCC(O)CC(O)CC(=O)CC(=O)OC1C(C)CCC(O)CC(=O)c1ccc(N)cc1)CC(O)C2C(=O)O
1183.2,2.3,359.0,8,26,False,,,CO[C@@H]1[C@H](O)C[C@@H](O[C@@H]2C[C@H](Oc3cc4cc5c(c(O)c4c(O)c3C)C(=O)[C@@H](O[C@H]3C[C@@H](O[C@H]4C[C@@H](O[C@H]6C[C@](C)(O)[C@@H](OC(C)=O)[C@H](C)O6)[C@H](O)[C@@H](C)O4)[C@H](O)[C@@H](C)O3)[C@H]([C@H](OC)C(=O)[C@@H](O)[C@@H](C)O)C5)O[C@H](C)[C@@H]2OC(C)=O)O[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f580>,True,CO[C@@H]1[C@H](O)C[C@@H](O[C@@H]2C[C@H](Oc3cc4cc5c(c(O)c4c(O)c3C)C(=O)[C@@H](O[C@H]3C[C@@H](O[C@H]4C[C@@H](O[C@H]6C[C@](C)(O)[C@@H](OC(C)=O)[C@H](C)O6)[C@H](O)[C@@H](C)O4)[C@H](O)[C@@H](C)O3)[C@H]([C@H](OC)C(=O)[C@@H](O)[C@@H](C)O)C5)O[C@H](C)[C@@H]2OC(C)=O)O[C@@H]1C
1422.7,-4.1,556.0,17,21,False,,,CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f5f0>,True,CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1
581.7,2.3,135.0,2,10,False,,,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f660>,True,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C
830.0,1.5,219.0,3,17,False,,,CCC(=O)O[C@@H]1CC(=O)O[C@H](C)C[C@H]2O[C@H]2/C=C/[C@H](O)[C@H](C)C[C@H](CC=O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@H]1OC,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f6d0>,True,CCC(=O)O[C@@H]1CC(=O)O[C@H](C)C[C@H]2O[C@H]2/C=C/[C@H](O)[C@H](C)C[C@H](CC=O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@H]1OC
460.4,-1.6,202.0,7,10,False,,,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f740>,True,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12
102.09,-1.5,64.4,2,3,False,,,N[C@@H]1CONC1=O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f7b0>,True,N[C@@H]1CONC1=O
614.6,-9.0,353.0,13,19,False,,,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f820>,True,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O
585.6,-7.9,332.0,13,17,False,,,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f890>,True,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
665.7,-1.3,231.0,7,14,False,,,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f900>,True,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O
376.4,3.6,115.0,4,6,False,,,Cc1cc(=O)c2c(O)c3c(O)cc(=O)c4c3c3c(cc(O)c1c23)C(C)(C)C=4O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d32f970>,True,Cc1cc(=O)c2c(O)c3c(O)cc(=O)c4c3c3c(cc(O)c1c23)C(C)(C)C=4O
